section,cell,book,iv,tenor_td,strike_off,delta_trig,budget,total_ret,max_dd,win_rate,final_equity,total_pl,n_converted,n_worthless
grid,4mo/OTM5/d90/14%/IV80,OPTION,0.8,84,0.05,0.9,0.14,0.3173,-0.1328,0.4267,856267,206267,49,26
grid,4mo/ITM5/d90/14%/IV80,OPTION,0.8,84,-0.05,0.9,0.14,0.3161,-0.1069,0.44,855450,205450,53,22
grid,9mo/OTM5/d85/14%/IV60,OPTION,0.6,189,0.05,0.85,0.14,0.3145,-0.0593,0.5067,854440,204440,49,26
grid,9mo/ITM5/d85/14%/IV60,OPTION,0.6,189,-0.05,0.85,0.14,0.3132,-0.0612,0.4933,853570,203570,54,21
grid,2mo/ATM/d80/7%/IV80,OPTION,0.8,42,0.0,0.8,0.07,0.3114,-0.0498,0.4,852416,202416,51,24
grid,2mo/ATM/d85/7%/IV80,OPTION,0.8,42,0.0,0.85,0.07,0.3114,-0.0498,0.4,852416,202416,51,24
grid,2mo/ATM/d90/7%/IV80,OPTION,0.8,42,0.0,0.9,0.07,0.3111,-0.0562,0.3867,852192,202192,47,28
grid,6mo/OTM5/d85/7%/IV60,OPTION,0.6,126,0.05,0.85,0.07,0.3108,-0.0436,0.4933,852049,202049,51,24
grid,4mo/ITM5/d80/14%/IV80,OPTION,0.8,84,-0.05,0.8,0.14,0.3086,-0.1212,0.4267,850598,200598,56,19
grid,2mo/ITM5/d85/7%/IV80,OPTION,0.8,42,-0.05,0.85,0.07,0.3081,-0.0446,0.4133,850257,200257,55,20
grid,2mo/ITM5/d90/7%/IV80,OPTION,0.8,42,-0.05,0.9,0.07,0.3081,-0.0446,0.4133,850257,200257,55,20
grid,9mo/OTM5/d90/14%/IV60,OPTION,0.6,189,0.05,0.9,0.14,0.3061,-0.0705,0.4533,848952,198952,49,26
grid,6mo/ITM5/d90/14%/IV80,OPTION,0.8,126,-0.05,0.9,0.14,0.3016,-0.0698,0.52,846031,196031,59,16
grid,4mo/ATM/d80/14%/IV80,OPTION,0.8,84,0.0,0.8,0.14,0.2987,-0.1259,0.44,844137,194137,54,21
grid,9mo/ATM/d80/14%/IV60,OPTION,0.6,189,0.0,0.8,0.14,0.2975,-0.0553,0.4667,843359,193359,53,22
grid,6mo/ATM/d90/14%/IV80,OPTION,0.8,126,0.0,0.9,0.14,0.2968,-0.0778,0.4667,842913,192913,54,21
grid,6mo/OTM5/d80/7%/IV60,OPTION,0.6,126,0.05,0.8,0.07,0.2955,-0.0414,0.48,842098,192098,53,22
grid,4mo/ATM/d85/14%/IV80,OPTION,0.8,84,0.0,0.85,0.14,0.2931,-0.1278,0.44,840505,190505,51,24
grid,3mo/ITM5/d85/7%/IV80,OPTION,0.8,63,-0.05,0.85,0.07,0.2857,-0.0586,0.4267,835732,185732,56,19
