year,symbol,entry_px,exit_px,buy_date,sell_date,actual_ret,breached,max_drawdown_below_entry,hardstop_ret,delta_dollar,classification,flag
2026,KRMN,80.1300,96.1010,2026-01-05,2026-02-04,0.1993,False,0.0421,0.1993,0.00,not breached,
2026,RKT,21.0508,19.4345,2026-01-05,2026-02-04,-0.0768,True,-0.1901,-0.0950,-1104.36,discretion HELPED,
2026,STRL,434.8507,390.1509,2026-02-10,2026-03-04,-0.1028,True,-0.0925,-0.0700,1955.71,discretion HURT,
2026,Q,112.4121,113.8630,2026-02-19,2026-03-04,0.0129,False,-0.0206,0.0129,0.00,not breached,
2026,WLDN,118.6077,79.9597,2026-02-09,2026-03-12,-0.3258,True,-0.3481,-0.0700,12448.14,discretion HURT,
2026,UFO,39.5617,43.0850,2025-12-30,2026-03-30,0.0891,False,-0.0263,0.0891,0.00,not breached,
2026,APLD,38.3678,22.4520,2026-01-21,2026-03-30,-0.4148,True,-0.4787,-0.0760,23424.31,discretion HURT,
2026,GEV,643.4200,1154.2551,2025-12-09,2026-04-23,0.7939,False,-0.0471,0.7939,0.00,not breached,
2026,CLS,362.3395,355.6358,2026-04-13,2026-04-28,-0.0185,False,-0.0340,-0.0185,0.00,not breached,
2026,NBIS,151.2456,132.8884,2026-04-10,2026-04-28,-0.1214,True,-0.1226,-0.0700,2862.49,discretion HURT,
2026,ALMU,25.1426,20.9468,2026-05-05,2026-05-14,-0.1669,True,-0.1727,-0.0700,4587.39,discretion HURT,
2026,CRDO,194.4958,169.0000,2026-05-05,2026-05-18,-0.1311,True,-0.2267,-0.0700,4502.62,discretion HURT,
2026,MOD,247.6255,238.0000,2026-04-09,2026-05-19,-0.0389,True,-0.0818,-0.0700,-2038.63,discretion HELPED,
2026,SQM,83.9316,80.7630,2026-04-08,2026-06-02,-0.0378,True,-0.0706,-0.0703,-2071.81,discretion HELPED,
2026,IREN,65.7990,47.8900,2026-06-01,2026-06-26,-0.2722,True,-0.3153,-0.0700,10182.21,discretion HURT,
2026,VIAV,56.7250,47.8156,2026-06-15,2026-06-26,-0.1571,True,-0.1907,-0.0700,5511.72,discretion HURT,
