cik,ticker,source,entity_name
805080,CIK805080,fundamentals,
800240,CIK800240,fundamentals,
789860,CIK789860,fundamentals,
786620,CIK786620,fundamentals,
786360,CIK786360,fundamentals,
78460,CIK78460,fundamentals,
783280,CIK783280,fundamentals,
773660,CIK773660,fundamentals,
772320,CIK772320,fundamentals,
767920,CIK767920,fundamentals,
878560,CIK878560,fundamentals,
878520,CIK878520,fundamentals,
873540,CIK873540,fundamentals,
869660,CIK869660,fundamentals,
868740,CIK868740,fundamentals,
862480,CIK862480,fundamentals,
858800,CIK858800,fundamentals,
854860,CIK854860,fundamentals,
854800,CIK854800,fundamentals,
850660,CIK850660,fundamentals,
850460,CIK850460,fundamentals,
847320,CIK847320,fundamentals,
828940,CIK828940,fundamentals,
820600,CIK820600,fundamentals,
820380,CIK820380,fundamentals,
819220,CIK819220,fundamentals,
921500,CIK921500,fundamentals,
918580,CIK918580,fundamentals,
918160,CIK918160,fundamentals,
915140,CIK915140,fundamentals,
911160,CIK911160,fundamentals,
910560,CIK910560,fundamentals,
906780,CIK906780,fundamentals,
904080,CIK904080,fundamentals,
896400,CIK896400,fundamentals,
894560,CIK894560,fundamentals,
892160,CIK892160,fundamentals,
89140,CIK89140,fundamentals,
884940,CIK884940,fundamentals,
883980,CIK883980,fundamentals,
882800,CIK882800,fundamentals,
880460,CIK880460,fundamentals,
1385280,CNK,fundamentals,
1569340,CLCS,fundamentals,
98720,CIK98720,fundamentals,
947440,CIK947440,fundamentals,
946840,CIK946840,fundamentals,
944480,CIK944480,fundamentals,
943580,CIK943580,fundamentals,
943320,CIK943320,fundamentals,
941020,CIK941020,fundamentals,
929940,CIK929940,fundamentals,
929920,CIK929920,fundamentals,
927720,CIK927720,fundamentals,
926660,CIK926660,fundamentals,
925660,CIK925660,fundamentals,
923660,CIK923660,fundamentals,
921560,CIK921560,fundamentals,
2000640,DMNIF,fundamentals,
1047340,DMC,fundamentals,
1401040,DMAC,fundamentals,
1854480,DEVSF,fundamentals,
1985840,DEFI,fundamentals,
1666700,DD,fundamentals,
1613780,DBVT,fundamentals,
916540,DAR,fundamentals,
26780,DAN,fundamentals,
1175680,CYDY,fundamentals,
928340,CWCO,fundamentals,
1690820,CVNA,fundamentals,
1290900,CVGI,fundamentals,
1645460,CUE,fundamentals,
317540,COKE,fundamentals,
1704720,CNNE,fundamentals,
1993400,FATN,fundamentals,
851520,EXPO,fundamentals,
1476840,EXFY,fundamentals,
1124140,EXAS,fundamentals,
1099800,EW,fundamentals,
1710340,ETON,fundamentals,
1995920,ESMR,fundamentals,
1227500,EQBK,fundamentals,
1420800,ENOV,fundamentals,
49600,EGP,fundamentals,
1326160,DUK,fundamentals,
936340,DTE,fundamentals,
1807120,DSGN,fundamentals,
1282980,DROR,fundamentals,
868780,DORM,fundamentals,
765880,DOC,fundamentals,
1576280,GH,fundamentals,
1392380,GEVO,fundamentals,
43920,GEF,fundamentals,
923120,GBX,fundamentals,
1789940,FWRG,fundamentals,
1965040,FTRE,fundamentals,
2063380,FSOL,fundamentals,
1690080,FRMM,fundamentals,
36840,FREVS,fundamentals,
1812360,FOXO,fundamentals,
1829280,FORA,fundamentals,
1580560,FLYW,fundamentals,
1975940,FLYE,fundamentals,
1860160,FLY,fundamentals,
39020,FEIM,fundamentals,
1429260,FBIO,fundamentals,
1057060,HZO,fundamentals,
773840,HON,fundamentals,
1331520,HOMB,fundamentals,
1539680,HMMR,fundamentals,
88000,HKHC,fundamentals,
2042460,HAVA,fundamentals,
46080,HAS,fundamentals,
1430300,GWSO,fundamentals,
1584480,GTIC,fundamentals,
854560,GSBC,fundamentals,
1463000,GRUSF,fundamentals,
1123360,GPN,fundamentals,
1808220,GOCOQ,fundamentals,
1276520,GNW,fundamentals,
1326200,GNK,fundamentals,
1326380,GME,fundamentals,
1336920,LDOS,fundamentals,
1495240,LAND,fundamentals,
1408100,KW,fundamentals,
1257640,KRO,fundamentals,
704440,KRMD,fundamentals,
1955520,KNF,fundamentals,
1849820,KITT,fundamentals,
930420,KFRC,fundamentals,
1433660,JBTM,fundamentals,
1824920,IONQ,fundamentals,
1790340,IMRX,fundamentals,
1642380,IMDX,fundamentals,
1420720,IBIO,fundamentals,
1720420,IBEX,fundamentals,
1278680,IAU,fundamentals,
917520,IART,fundamentals,
769520,MIDD,fundamentals,
1412100,MHLA,fundamentals,
1447380,MFON,fundamentals,
1055160,MFA,fundamentals,
1396440,MAIN,fundamentals,
92380,LUV,fundamentals,
1826000,LTCH,fundamentals,
1888740,LSEB,fundamentals,
1141240,LQMT,fundamentals,
1840780,LOCL,fundamentals,
1462120,LOB,fundamentals,
1080340,LOAN,fundamentals,
1477960,LMED,fundamentals,
1581760,LIF,fundamentals,
948320,LFMD,fundamentals,
920760,LEN,fundamentals,
1544400,NFTN,fundamentals,
1065280,NFLX,fundamentals,
1612720,NEXT,fundamentals,
795800,NEXM,fundamentals,
1941360,NELR,fundamentals,
1756180,NCRA,fundamentals,
1923780,NCL,fundamentals,
1648960,MYSE,fundamentals,
1522540,MQ,fundamentals,
1552000,MPLX,fundamentals,
764180,MO,fundamentals,
1826600,MNTK,fundamentals,
899460,MNKD,fundamentals,
1032220,MMS,fundamentals,
66740,MMM,fundamentals,
2051820,MLCI,fundamentals,
74260,ORI,fundamentals,
1702780,OPTU,fundamentals,
1378140,OPTT,fundamentals,
1849380,ONMD,fundamentals,
873860,ONIT,fundamentals,
1639300,OLLI,fundamentals,
1174940,OGEN,fundamentals,
1861560,NUVL,fundamentals,
1039280,NTWK,fundamentals,
1798100,NTST,fundamentals,
1021860,NOV,fundamentals,
1011060,NORD,fundamentals,
1690680,NMRK,fundamentals,
1787400,NKTX,fundamentals,
877860,NHI,fundamentals,
1173420,NG,fundamentals,
77360,PNR,fundamentals,
2075320,PLYX,fundamentals,
1158780,PLUR,fundamentals,
1665300,PHUN,fundamentals,
1533040,PHIO,fundamentals,
770460,PFBX,fundamentals,
2051380,PEW,fundamentals,
318300,PEBO,fundamentals,
788920,PDEX,fundamentals,
1568100,PD,fundamentals,
276720,PCYO,fundamentals,
1122020,PCSV,fundamentals,
1004980,PCG,fundamentals,
1792580,OVV,fundamentals,
1107280,OVTZ,fundamentals,
1796280,ORIC,fundamentals,
1661600,SATT,fundamentals,
1682220,SACH,fundamentals,
1839140,RVRC,fundamentals,
1434740,RNGC,fundamentals,
1810560,REVB,fundamentals,
1868640,RDZN,fundamentals,
1442620,RCON,fundamentals,
1590560,QURE,fundamentals,
2070900,QUMS,fundamentals,
889900,PTEN,fundamentals,
275880,PSN,fundamentals,
1678660,PRLD,fundamentals,
80420,POWL,fundamentals,
833640,POWI,fundamentals,
867840,POCI,fundamentals,
1766400,PNTG,fundamentals,
1511820,STEK,fundamentals,
719220,STBA,fundamentals,
2081300,SSAC,fundamentals,
1772720,SPRU,fundamentals,
747540,SPRS,fundamentals,
64040,SPGI,fundamentals,
913760,SNEX,fundamentals,
1043000,SNDA,fundamentals,
91440,SNA,fundamentals,
1817760,SMTK,fundamentals,
89800,SHW,fundamentals,
1831840,SEMR,fundamentals,
1697500,SEI,fundamentals,
1763660,SEAV,fundamentals,
2036060,SBMW,fundamentals,
1870600,SBDS,fundamentals,
1465740,TWO,fundamentals,
1552800,TTSH,fundamentals,
1013880,TTEC,fundamentals,
1320760,TSSI,fundamentals,
1563880,TRVI,fundamentals,
99780,TRN,fundamentals,
1526520,TRIP,fundamentals,
2098780,TRGS,fundamentals,
1561680,TPH,fundamentals,
2073340,TLNC,fundamentals,
1660280,TENB,fundamentals,
864240,SYPR,fundamentals,
817720,SYNA,fundamentals,
1837240,SYM,fundamentals,
1289340,STXS,fundamentals,
1399520,STKS,fundamentals,
2104260,WENC,fundamentals,
106040,WDC,fundamentals,
1318220,WCN,fundamentals,
740260,VTR,fundamentals,
875320,VRTX,fundamentals,
1495320,VRA,fundamentals,
1788060,VOYG,fundamentals,
1967680,VLTO,fundamentals,
1787740,VBIO,fundamentals,
717720,VALU,fundamentals,
832480,UTGN,fundamentals,
82020,USLM,fundamentals,
1766140,UNCY,fundamentals,
1901440,ULS,fundamentals,
1289460,TXRH,fundamentals,
1581280,TWST,fundamentals,
1555280,ZTS,fundamentals,
1725160,ZNTL,fundamentals,
1489300,ZLME,fundamentals,
109380,ZION,fundamentals,
1617640,ZG,fundamentals,
1279620,ZDPY,fundamentals,
1674440,YYAI,fundamentals,
1616000,XHR,fundamentals,
1083220,XELB,fundamentals,
1034760,WYY,fundamentals,
1558740,WNLV,fundamentals,
1071840,WNDW,fundamentals,
107140,WLY,fundamentals,
789460,WKC,fundamentals,
106640,WHR,fundamentals,
1826660,WETH,fundamentals,
1518461,AMPG,fundamentals,
1562401,AMH,fundamentals,
1579241,ALLE,fundamentals,
766421,ALK,fundamentals,
1755101,ALDS,fundamentals,
2031561,ALDF,fundamentals,
862861,AIFC,fundamentals,
1708341,AIFA,fundamentals,
1156041,AGIG,fundamentals,
